Event_Name,Tweet_Timestamp,Count
Special corporate Seminar,2022-10-23T00:00:00.000000000,1
50 Year Anniversary of Pride March,2022-10-27T00:00:00.000000000,1
50 Year Anniversary of Pride March,2022-10-28T00:00:00.000000000,1
50 Year Anniversary of Pride March,2022-10-29T00:00:00.000000000,0
50 Year Anniversary of Pride March,2022-10-30T00:00:00.000000000,0
50 Year Anniversary of Pride March,2022-10-31T00:00:00.000000000,1
AZ election campaign,2022-10-21T00:00:00.000000000,1
AZ election campaign,2022-10-22T00:00:00.000000000,0
AZ election campaign,2022-10-23T00:00:00.000000000,0
AZ election campaign,2022-10-24T00:00:00.000000000,1
All Saint's Day,2022-10-28T00:00:00.000000000,1
Arizona Weather forecast,2022-10-25T00:00:00.000000000,1
BMS Talk,2022-10-29T00:00:00.000000000,1
BTS,2022-11-01T00:00:00.000000000,1
Bieber Concert,2022-10-20T00:00:00.000000000,1
Boxing Day,2022-10-25T00:00:00.000000000,1
CES (Consumer Electronics Show),2022-10-20T00:00:00.000000000,1
CES (Consumer Electronics Show),2022-10-21T00:00:00.000000000,1
CES (Consumer Electronics Show),2022-10-22T00:00:00.000000000,0
CES (Consumer Electronics Show),2022-10-23T00:00:00.000000000,0
CES (Consumer Electronics Show),2022-10-24T00:00:00.000000000,0
CES (Consumer Electronics Show),2022-10-25T00:00:00.000000000,0
CES (Consumer Electronics Show),2022-10-26T00:00:00.000000000,0
CES (Consumer Electronics Show),2022-10-27T00:00:00.000000000,0
CES (Consumer Electronics Show),2022-10-28T00:00:00.000000000,0
CES (Consumer Electronics Show),2022-10-29T00:00:00.000000000,0
CES (Consumer Electronics Show),2022-10-30T00:00:00.000000000,1
CVPR 2022,2022-10-21T00:00:00.000000000,1
Central Pennsylvania Festival of the Arts,2022-10-30T00:00:00.000000000,1
Champions League,2022-10-23T00:00:00.000000000,1
Cherry Creek Arts Festival,2022-10-27T00:00:00.000000000,1
China town Traffic,2022-10-27T00:00:00.000000000,1
Christmas'22,2022-10-20T00:00:00.000000000,1
Christmas'22,2022-10-21T00:00:00.000000000,0
Christmas'22,2022-10-22T00:00:00.000000000,0
Christmas'22,2022-10-23T00:00:00.000000000,0
Christmas'22,2022-10-24T00:00:00.000000000,2
Christmas'22,2022-10-25T00:00:00.000000000,0
Christmas'22,2022-10-26T00:00:00.000000000,1
Christmas'22,2022-10-27T00:00:00.000000000,0
Christmas'22,2022-10-28T00:00:00.000000000,0
Christmas'22,2022-10-29T00:00:00.000000000,0
Christmas'22,2022-10-30T00:00:00.000000000,1
Christmas'22,2022-10-31T00:00:00.000000000,1
Cisco Live,2022-10-22T00:00:00.000000000,1
Cisco Live,2022-10-23T00:00:00.000000000,0
Cisco Live,2022-10-24T00:00:00.000000000,0
Cisco Live,2022-10-25T00:00:00.000000000,0
Cisco Live,2022-10-26T00:00:00.000000000,0
Cisco Live,2022-10-27T00:00:00.000000000,0
Cisco Live,2022-10-28T00:00:00.000000000,0
Cisco Live,2022-10-29T00:00:00.000000000,1
Cisco Live,2022-10-30T00:00:00.000000000,0
Cisco Live,2022-10-31T00:00:00.000000000,0
Cisco Live,2022-11-01T00:00:00.000000000,1
Cloud Summit,2022-10-19T00:00:00.000000000,1
Columbus Day,2022-10-28T00:00:00.000000000,1
Columbus day,2022-10-21T00:00:00.000000000,1
Commonwealth Games,2022-10-29T00:00:00.000000000,1
Commonwealth Games,2022-10-30T00:00:00.000000000,0
Commonwealth Games,2022-10-31T00:00:00.000000000,1
Day of the Dead,2022-10-24T00:00:00.000000000,1
Diwali,2022-10-28T00:00:00.000000000,1
EdTech Summit,2022-10-19T00:00:00.000000000,1
European Elections,2022-10-18T00:00:00.000000000,1
European Elections,2022-10-19T00:00:00.000000000,0
European Elections,2022-10-20T00:00:00.000000000,1
European Elections,2022-10-21T00:00:00.000000000,0
European Elections,2022-10-22T00:00:00.000000000,0
European Elections,2022-10-23T00:00:00.000000000,0
European Elections,2022-10-24T00:00:00.000000000,1
FIFA World Cup,2022-10-18T00:00:00.000000000,1
FIFA World Cup,2022-10-19T00:00:00.000000000,0
FIFA World Cup,2022-10-20T00:00:00.000000000,0
FIFA World Cup,2022-10-21T00:00:00.000000000,0
FIFA World Cup,2022-10-22T00:00:00.000000000,0
FIFA World Cup,2022-10-23T00:00:00.000000000,1
FINA World Swimming Championships (25m),2022-10-21T00:00:00.000000000,1
FINA World Swimming Championships (25m),2022-10-22T00:00:00.000000000,0
FINA World Swimming Championships (25m),2022-10-23T00:00:00.000000000,1
FINA World Swimming Championships (25m),2022-10-24T00:00:00.000000000,1
Farmer's protest,2022-10-31T00:00:00.000000000,1
Film Festival,2022-10-26T00:00:00.000000000,1
